year_month,nifty,tatasteel,date
2017-10,10335.2998046875,53.87297439575195,2017-10-01
2017-11,10226.5498046875,53.134300231933594,2017-11-01
2017-12,10530.7001953125,56.06218338012695,2017-12-01
2018-01,11027.7001953125,56.645931243896484,2018-01-01
2018-02,10492.849609375,53.958457946777344,2018-02-01
2018-03,10113.7001953125,45.87995147705078,2018-03-01
2018-04,10739.349609375,47.800148010253906,2018-04-01
2018-05,10736.150390625,46.24952697753906,2018-05-01
2018-06,10714.2998046875,45.61482238769531,2018-06-01
2018-07,11356.5,46.043426513671875,2018-07-01
2018-08,11680.5,49.10590362548828,2018-08-01
2018-09,10930.4501953125,47.53173065185547,2018-09-01
2018-10,10386.599609375,45.291099548339844,2018-10-01
2018-11,10876.75,43.29987716674805,2018-11-01
2018-12,10862.5498046875,42.6088752746582,2018-12-01
2019-01,10830.9501953125,38.98215103149414,2019-01-01
2019-02,10792.5,40.9243049621582,2019-02-01
2019-03,11570.0,41.40269470214844,2019-03-01
2019-04,11748.150390625,45.56504440307617,2019-04-01
2019-05,11922.7998046875,39.930747985839844,2019-05-01
2019-06,11788.849609375,41.24732208251953,2019-06-01
2019-07,11118.0,36.254493713378906,2019-07-01
2019-08,11023.25,28.941497802734375,2019-08-01
2019-09,11474.4501953125,30.250537872314453,2019-09-01
2019-10,11877.4501953125,31.932981491088867,2019-10-01
2019-11,12056.0498046875,35.87268829345703,2019-11-01
2019-12,12168.4501953125,39.61099624633789,2019-12-01
2020-01,11962.099609375,36.8125114440918,2020-01-01
2020-02,11201.75,32.0336799621582,2020-02-01
2020-03,8597.75,22.622867584228516,2020-03-01
2020-04,9859.900390625,25.031164169311523,2020-04-01
2020-05,9580.2998046875,24.771034240722656,2020-05-01
2020-06,10302.099609375,27.41428565979004,2020-06-01
2020-07,11073.4501953125,30.73723030090332,2020-07-01
2020-08,11387.5,35.55424118041992,2020-08-01
2020-09,11247.5498046875,30.970064163208008,2020-09-01
2020-10,11642.400390625,35.34332275390625,2020-10-01
2020-11,12968.9501953125,49.702762603759766,2020-11-01
2020-12,13981.75,55.410377502441406,2020-12-01
2021-01,13634.599609375,51.738731384277344,2021-01-01
2021-02,14529.150390625,61.565650939941406,2021-02-01
2021-03,14690.7001953125,69.89034271240234,2021-03-01
2021-04,14631.099609375,89.01473999023438,2021-04-01
2021-05,15582.7998046875,96.90467071533203,2021-05-01
2021-06,15721.5,102.67743682861328,2021-06-01
2021-07,15763.0498046875,126.23885345458984,2021-07-01
2021-08,17132.19921875,127.64266967773438,2021-08-01
2021-09,17618.150390625,113.44157409667969,2021-09-01
2021-10,17671.650390625,115.8223648071289,2021-10-01
2021-11,16983.19921875,94.28086853027344,2021-11-01
2021-12,17354.05078125,97.82344055175781,2021-12-01
2022-01,17339.849609375,95.54386901855469,2022-01-01
2022-02,16793.900390625,107.44339752197266,2022-02-01
2022-03,17464.75,115.05223846435547,2022-03-01
2022-04,17102.55078125,111.87051391601562,2022-04-01
2022-05,16584.55078125,92.91224670410156,2022-05-01
2022-06,15780.25,80.43057250976562,2022-06-01
2022-07,17158.25,99.8134994506836,2022-07-01
2022-08,17759.30078125,100.46284484863281,2022-08-01
2022-09,17094.349609375,92.1141357421875,2022-09-01
2022-10,18012.19921875,94.20130920410156,2022-10-01
2022-11,18758.349609375,99.8598861694336,2022-11-01
2022-12,18105.30078125,104.49805450439453,2022-12-01
2023-01,17662.150390625,111.03787231445312,2023-01-01
2023-02,17303.94921875,96.42762756347656,2023-02-01
2023-03,17359.75,96.93783569335938,2023-03-01
2023-04,18065.0,100.13816833496094,2023-04-01
2023-05,18534.400390625,98.14375305175781,2023-05-01
2023-06,19189.05078125,107.28604125976562,2023-06-01
2023-07,19753.80078125,117.96675872802734,2023-07-01
2023-08,19253.80078125,117.72727966308594,2023-08-01
2023-09,19638.30078125,123.47473907470703,2023-09-01
2023-10,19079.599609375,113.75194549560547,2023-10-01
2023-11,20133.150390625,122.51683807373047,2023-11-01
2023-12,21731.400390625,133.72439575195312,2023-12-01
2024-01,21725.69921875,130.22802734375,2024-01-01
2024-02,21982.80078125,134.92178344726562,2024-02-01
2024-03,22326.900390625,149.29046630859375,2024-03-01
2024-04,22604.849609375,158.0553436279297,2024-04-01
2024-05,22530.69921875,160.16273498535156,2024-05-01
2024-06,24010.599609375,170.04446411132812,2024-06-01
2024-07,24951.150390625,161.56227111816406,2024-07-01
2024-08,25235.900390625,149.2787322998047,2024-08-01
2024-09,25810.849609375,164.70889282226562,2024-09-01
2024-10,24205.349609375,145.1744384765625,2024-10-01
2024-11,24131.099609375,141.2460479736328,2024-11-01
2024-12,23644.80078125,134.90396118164062,2024-12-01
2025-01,23508.400390625,131.5521240234375,2025-01-01
2025-02,22124.69921875,134.07333374023438,2025-02-01
2025-03,23519.349609375,150.72500610351562,2025-03-01
2025-04,24334.19921875,136.8876953125,2025-04-01
2025-05,24750.69921875,157.35049438476562,2025-05-01
2025-06,25517.05078125,159.75999450683594,2025-06-01
2025-07,24768.349609375,157.94000244140625,2025-07-01
2025-08,24426.849609375,154.47999572753906,2025-08-01
2025-09,24611.099609375,168.77000427246094,2025-09-01
2025-10,25722.099609375,182.83999633789062,2025-10-01
2025-11,26202.94921875,167.9600067138672,2025-11-01
2025-12,26129.599609375,180.0800018310547,2025-12-01
2026-01,25320.650390625,193.1300048828125,2026-01-01
2026-02,25533.30078125,204.67999267578125,2026-02-01
