year_month,nifty,hdfcbank,date
2019-12,12168.4501953125,602.4510498046875,2019-12-01
2020-01,11962.099609375,580.7608032226562,2020-01-01
2020-02,11201.75,557.720703125,2020-02-01
2020-03,8597.75,408.18536376953125,2020-03-01
2020-04,9859.900390625,474.44024658203125,2020-04-01
2020-05,9580.2998046875,450.68988037109375,2020-05-01
2020-06,10302.099609375,504.7735595703125,2020-06-01
2020-07,11073.4501953125,489.1215515136719,2020-07-01
2020-08,11387.5,528.4530029296875,2020-08-01
2020-09,11247.5498046875,510.811767578125,2020-09-01
2020-10,11642.400390625,560.514892578125,2020-10-01
2020-11,12968.9501953125,682.3689575195312,2020-11-01
2020-12,13981.75,680.2141723632812,2020-12-01
2021-01,13634.599609375,658.5238037109375,2021-01-01
2021-02,14529.150390625,726.673095703125,2021-02-01
2021-03,14690.7001953125,707.3743896484375,2021-03-01
2021-04,14631.099609375,668.84814453125,2021-04-01
2021-05,15582.7998046875,717.8880615234375,2021-05-01
2021-06,15721.5,712.4574584960938,2021-06-01
2021-07,15763.0498046875,678.4730834960938,2021-07-01
2021-08,17132.19921875,752.1731567382812,2021-08-01
2021-09,17618.150390625,758.6180419921875,2021-09-01
2021-10,17671.650390625,752.8628540039062,2021-10-01
2021-11,16983.19921875,710.3884887695312,2021-11-01
2021-12,17354.05078125,703.6581420898438,2021-12-01
2022-01,17339.849609375,706.6546630859375,2022-01-01
2022-02,16793.900390625,678.3779907226562,2022-02-01
2022-03,17464.75,699.3536376953125,2022-03-01
2022-04,17102.55078125,658.5677490234375,2022-04-01
2022-05,16584.55078125,668.3179321289062,2022-05-01
2022-06,15780.25,648.6141967773438,2022-06-01
2022-07,17158.25,690.0907592773438,2022-07-01
2022-08,17759.30078125,715.0633544921875,2022-08-01
2022-09,17094.349609375,683.9078369140625,2022-09-01
2022-10,18012.19921875,720.1637573242188,2022-10-01
2022-11,18758.349609375,773.9342651367188,2022-11-01
2022-12,18105.30078125,783.413330078125,2022-12-01
2023-01,17662.150390625,771.552490234375,2023-01-01
2023-02,17303.94921875,769.6759033203125,2023-02-01
2023-03,17359.75,774.4635620117188,2023-03-01
2023-04,18065.0,812.0186767578125,2023-04-01
2023-05,18534.400390625,783.9777221679688,2023-05-01
2023-06,19189.05078125,828.047119140625,2023-06-01
2023-07,19753.80078125,803.615478515625,2023-07-01
2023-08,19253.80078125,764.80224609375,2023-08-01
2023-09,19638.30078125,742.8284301757812,2023-09-01
2023-10,19079.599609375,718.591552734375,2023-10-01
2023-11,20133.150390625,758.6456909179688,2023-11-01
2023-12,21731.400390625,831.8676147460938,2023-12-01
2024-01,21725.69921875,711.8021850585938,2024-01-01
2024-02,21982.80078125,683.0147705078125,2024-02-01
2024-03,22326.900390625,704.6723022460938,2024-03-01
2024-04,22604.849609375,739.8109130859375,2024-04-01
2024-05,22530.69921875,755.5620727539062,2024-05-01
2024-06,24010.599609375,830.671875,2024-06-01
2024-07,24951.150390625,797.1006469726562,2024-07-01
2024-08,25235.900390625,807.5346069335938,2024-08-01
2024-09,25810.849609375,854.47509765625,2024-09-01
2024-10,24205.349609375,856.2756958007812,2024-10-01
2024-11,24131.099609375,886.04833984375,2024-11-01
2024-12,23644.80078125,874.60302734375,2024-12-01
2025-01,23508.400390625,838.047119140625,2025-01-01
2025-02,22124.69921875,854.6477661132812,2025-02-01
2025-03,23519.349609375,901.9088745117188,2025-03-01
2025-04,24334.19921875,949.6633911132812,2025-04-01
2025-05,24750.69921875,959.480712890625,2025-05-01
2025-06,25517.05078125,998.2658081054688,2025-06-01
2025-07,24768.349609375,1009.0999755859375,2025-07-01
2025-08,24426.849609375,951.5999755859375,2025-08-01
2025-09,24611.099609375,951.0,2025-09-01
2025-10,25722.099609375,987.2999877929688,2025-10-01
2025-11,26202.94921875,1007.5999755859375,2025-11-01
2025-12,26129.599609375,991.2000122070312,2025-12-01
2026-01,25320.650390625,929.25,2026-01-01
2026-02,25532.19921875,910.0,2026-02-01
