year_month,nifty,infy,date
2018-04,10739.349609375,481.9170837402344,2018-04-01
2018-05,10736.150390625,494.8941650390625,2018-05-01
2018-06,10714.2998046875,538.060546875,2018-06-01
2018-07,11356.5,561.892822265625,2018-07-01
2018-08,11680.5,593.1753540039062,2018-08-01
2018-09,10930.4501953125,600.9960327148438,2018-09-01
2018-10,10386.599609375,571.2158203125,2018-10-01
2018-11,10876.75,555.44580078125,2018-11-01
2018-12,10862.5498046875,548.3721313476562,2018-12-01
2019-01,10830.9501953125,627.197509765625,2019-01-01
2019-02,10792.5,614.4368896484375,2019-02-01
2019-03,11570.0,617.365478515625,2019-03-01
2019-04,11748.150390625,628.7036743164062,2019-04-01
2019-05,11922.7998046875,617.32373046875,2019-05-01
2019-06,11788.849609375,621.164794921875,2019-06-01
2019-07,11118.0,673.4801025390625,2019-07-01
2019-08,11023.25,691.5126342773438,2019-08-01
2019-09,11474.4501953125,683.6631469726562,2019-09-01
2019-10,11877.4501953125,589.1136474609375,2019-10-01
2019-11,12056.0498046875,598.3506469726562,2019-11-01
2019-12,12168.4501953125,628.25341796875,2019-12-01
2020-01,11962.099609375,666.7484741210938,2020-01-01
2020-02,11201.75,628.725830078125,2020-02-01
2020-03,8597.75,551.2200317382812,2020-03-01
2020-04,9859.900390625,614.8057861328125,2020-04-01
2020-05,9580.2998046875,601.8360595703125,2020-05-01
2020-06,10302.099609375,640.9859008789062,2020-06-01
2020-07,11073.4501953125,841.35107421875,2020-07-01
2020-08,11387.5,808.7771606445312,2020-08-01
2020-09,11247.5498046875,878.1493530273438,2020-09-01
2020-10,11642.400390625,933.6676025390625,2020-10-01
2020-11,12968.9501953125,968.3524169921875,2020-11-01
2020-12,13981.75,1105.5062255859375,2020-12-01
2021-01,13634.599609375,1090.7608642578125,2021-01-01
2021-02,14529.150390625,1103.3055419921875,2021-02-01
2021-03,14690.7001953125,1204.3223876953125,2021-03-01
2021-04,14631.099609375,1192.261962890625,2021-04-01
2021-05,15582.7998046875,1240.1864013671875,2021-05-01
2021-06,15721.5,1406.627197265625,2021-06-01
2021-07,15763.0498046875,1433.054931640625,2021-07-01
2021-08,17132.19921875,1518.4329833984375,2021-08-01
2021-09,17618.150390625,1490.6260986328125,2021-09-01
2021-10,17671.650390625,1497.148681640625,2021-10-01
2021-11,16983.19921875,1537.455810546875,2021-11-01
2021-12,17354.05078125,1694.64404296875,2021-12-01
2022-01,17339.849609375,1558.5965576171875,2022-01-01
2022-02,16793.900390625,1540.1038818359375,2022-02-01
2022-03,17464.75,1711.7901611328125,2022-03-01
2022-04,17102.55078125,1407.1988525390625,2022-04-01
2022-05,16584.55078125,1364.085205078125,2022-05-01
2022-06,15780.25,1326.2545166015625,2022-06-01
2022-07,17158.25,1405.9075927734375,2022-07-01
2022-08,17759.30078125,1354.42333984375,2022-08-01
2022-09,17094.349609375,1282.2999267578125,2022-09-01
2022-10,18012.19921875,1410.220947265625,2022-10-01
2022-11,18758.349609375,1499.4573974609375,2022-11-01
2022-12,18105.30078125,1383.21142578125,2022-12-01
2023-01,17662.150390625,1406.6441650390625,2023-01-01
2023-02,17303.94921875,1364.27294921875,2023-02-01
2023-03,17359.75,1309.612060546875,2023-03-01
2023-04,18065.0,1148.931396484375,2023-04-01
2023-05,18534.400390625,1209.0489501953125,2023-05-01
2023-06,19189.05078125,1241.2864990234375,2023-06-01
2023-07,19753.80078125,1260.0611572265625,2023-07-01
2023-08,19253.80078125,1334.185302734375,2023-08-01
2023-09,19638.30078125,1334.185302734375,2023-09-01
2023-10,19079.599609375,1288.3277587890625,2023-10-01
2023-11,20133.150390625,1370.0018310546875,2023-11-01
2023-12,21731.400390625,1452.6170654296875,2023-12-01
2024-01,21725.69921875,1563.7122802734375,2024-01-01
2024-02,21982.80078125,1575.951416015625,2024-02-01
2024-03,22326.900390625,1410.391357421875,2024-03-01
2024-04,22604.849609375,1337.4263916015625,2024-04-01
2024-05,22530.69921875,1351.0770263671875,2024-05-01
2024-06,24010.599609375,1504.5843505859375,2024-06-01
2024-07,24951.150390625,1794.121337890625,2024-07-01
2024-08,25235.900390625,1866.5777587890625,2024-08-01
2024-09,25810.849609375,1801.179931640625,2024-09-01
2024-10,24205.349609375,1706.7401123046875,2024-10-01
2024-11,24131.099609375,1804.448486328125,2024-11-01
2024-12,23644.80078125,1825.9617919921875,2024-12-01
2025-01,23508.400390625,1825.7677001953125,2025-01-01
2025-02,22124.69921875,1639.189208984375,2025-02-01
2025-03,23519.349609375,1525.5037841796875,2025-03-01
2025-04,24334.19921875,1456.9815673828125,2025-04-01
2025-05,24750.69921875,1539.1375732421875,2025-05-01
2025-06,25517.05078125,1577.6480712890625,2025-06-01
2025-07,24768.349609375,1486.247314453125,2025-07-01
2025-08,24426.849609375,1447.4412841796875,2025-08-01
2025-09,24611.099609375,1420.060546875,2025-09-01
2025-10,25722.099609375,1482.300048828125,2025-10-01
2025-11,26202.94921875,1560.0999755859375,2025-11-01
2025-12,26129.599609375,1615.4000244140625,2025-12-01
2026-01,25320.650390625,1641.0,2026-01-01
2026-02,25529.150390625,1373.699951171875,2026-02-01
